time,lane_1,lane_2,lane_3,lane_4
0,1,1,1,1
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,1,1,1,1
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,1,1,1,1
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,1,1,1,1
23,0,0,0,0
24,0,0,0,0
25,0,0,1,1
26,0,0,1,1
27,0,0,1,1
28,0,0,1,1
29,1,1,2,2
30,0,0,1,1
31,0,0,1,1
32,0,0,2,1
33,0,0,2,1
34,0,0,2,1
35,0,0,2,2
36,1,1,3,3
37,0,0,2,2
38,0,0,2,2
39,0,0,3,3
40,0,0,3,3
41,0,0,3,3
42,0,0,3,3
43,0,0,3,3
44,1,1,4,3
45,0,0,2,2
46,0,0,2,2
47,1,1,1,1
48,1,1,0,0
49,1,1,0,0
50,1,1,0,0
51,2,2,1,1
52,1,1,0,0
53,1,1,0,0
54,2,2,0,0
55,2,2,0,0
56,2,2,0,0
57,2,2,0,0
58,3,3,1,1
59,3,2,0,0
60,3,3,0,0
61,3,3,0,0
62,3,3,0,0
63,3,3,0,0
64,3,3,0,0
65,4,3,0,1
66,3,3,1,0
67,3,4,0,0
68,3,3,0,0
69,3,4,0,0
70,4,4,0,0
71,4,4,0,0
72,5,4,1,1
73,4,4,0,0
74,4,6,0,0
75,5,5,0,0
76,5,5,0,0
77,5,5,0,0
78,5,5,0,0
79,5,5,0,0
80,5,6,1,1
81,6,5,0,0
82,6,6,0,0
83,6,6,0,0
84,6,6,0,0
85,6,6,0,0
86,6,6,0,0
87,7,7,1,1
88,6,7,0,0
89,6,7,0,0
90,6,6,0,0
91,5,5,0,0
92,4,4,1,1
93,4,3,1,1
94,4,3,2,2
95,3,1,1,1
96,3,1,2,1
97,2,0,2,2
98,3,0,2,2
99,4,0,2,2
100,5,0,2,2
101,6,0,3,3
102,6,1,2,2
103,7,0,2,2
104,7,0,3,2
105,7,0,3,3
106,8,0,3,3
107,8,0,3,3
108,10,1,4,4
109,9,0,3,3
110,9,0,3,3
111,9,0,3,4
112,9,0,4,4
113,9,0,4,4
114,10,0,4,4
115,10,0,4,4
116,11,1,6,5
117,10,0,5,5
118,10,0,5,6
119,10,0,5,5
120,9,0,5,5
121,8,0,5,5
122,7,0,5,5
123,7,1,6,5
124,6,0,6,6
125,5,0,6,6
126,5,0,6,6
127,5,0,6,6
128,4,0,6,7
129,2,0,6,6
130,2,1,8,7
131,1,0,7,7
132,0,0,7,8
133,1,0,7,7
134,0,0,7,7
135,0,0,6,6
136,0,0,5,5
137,2,1,5,4
138,1,0,3,3
139,1,0,2,2
140,2,0,2,2
141,3,0,1,1
142,4,0,0,0
143,5,1,0,0
144,6,2,1,0
145,6,1,0,1
146,7,2,0,0
147,7,2,0,0
148,8,2,0,0
149,9,2,0,0
150,10,2,0,0
151,10,2,0,0
152,12,3,1,1
153,12,2,0,0
154,12,3,0,0
155,13,3,0,0
156,14,3,0,0
157,14,3,0,0
158,14,3,0,0
159,14,3,1,1
160,15,3,0,0
161,15,4,0,0
162,15,4,0,0
163,15,4,0,0
164,15,4,0,0
165,15,4,0,0
166,16,4,1,1
167,15,5,0,0
168,15,6,0,0
169,16,5,0,0
170,16,5,0,0
171,16,5,0,0
172,16,5,0,0
173,16,6,1,1
174,17,6,0,0
175,16,6,0,0
176,17,6,0,0
177,17,6,0,0
178,17,6,0,0
179,17,6,0,0
180,16,6,1,1
181,15,4,0,0
182,14,4,0,0
183,14,3,0,0
184,14,2,1,0
185,12,1,1,1
186,12,0,1,1
187,12,0,1,1
188,13,0,2,2
189,12,0,1,1
190,12,1,1,2
191,12,0,2,2
192,12,0,2,2
193,11,0,2,2
194,12,0,2,2
195,12,0,3,3
196,13,1,2,2
197,13,0,2,2
198,12,0,3,3
199,12,0,3,3
